測定日時	2012/8/30 17:52											
コメント	-223_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
C	1.192	0.164	0.131	0.33	1.265	0.142	0.202	0.288	1.247	0.278	0.342	0.351
D	1.366	0.856	0.873	1.178	1.169	1.131	0.894	1.036	1.222	1.284	0.416	0.673
E	0.218	1.018	0.219	0.554	0.236	1.153	0.392	0.372	0.306	1.196	0.383	0.391
F	1.338	0.164	0.941	0.355	1.218	0.187	0.994	0.42	1.115	0.356	1.014	0.411
G	0.287	0.351	0.387	0.246	0.353	0.33	0.249	0.376	0.362	0.891	0.325	0.346
H	0.34	0.549	0.352	0.749	0.343	0.721	0.354	0.832	0.342	0.664	0.365	0.728
測定日時	2012/8/30 18:17											
コメント	-218_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.16	1.194	0.322	0.416	0.293	1.163	0.348	0.404	0.336	1.222	0.3	0.373
B	0.833	0.158	0.157	1.128	0.772	0.137	0.253	1.338	1.18	0.271	0.326	1.014
C	1.32	0.122	0.286	0.263	1.322	0.3	0.132	0.256	1.251	0.22	0.319	0.355
D	1.411	0.978	0.815	0.846	1.186	1.198	0.824	1.116	1.191	1.207	0.381	0.665
E	0.204	0.948	0.29	0.253	0.18	1.101	0.231	0.439	0.334	1.196	0.429	0.377
F	1.473	0.136	0.999	0.366	1.239	0.229	0.983	0.474	1.235	0.258	1.044	0.379
G	0.266	0.399	0.176	0.183	0.234	0.696	0.286	0.233	0.376	0.366	0.33	0.333
H	0.314	0.734	0.372	0.515	0.311	0.62	0.312	0.786	0.378	0.732	0.34	0.41
測定日時	2012/8/30 18:19											
コメント	-219_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.267	1.245	0.265	0.477	0.285	1.175	0.215	0.462	0.327	1.183	0.364	0.397
B	0.445	0.26	1.463	0.512	0.991	0.126	0.148	1.143	0.838	0.203	0.271	1.032
C	1.311	0.146	0.146	0.385	1.211	0.13	0.159	0.354	1.106	0.359	0.322	0.362
D	1.309	1.14	0.2	0.954	1.149	1.095	0.199	0.914	1.09	1.15	0.397	0.685
E	0.277	1.14	0.444	0.575	0.203	1.165	0.196	0.494	0.314	1.085	0.449	0.379
F	1.657	0.404	1.078	0.544	1.254	0.296	0.35	0.75	1.202	0.385	0.333	0.499
G	0.26	0.584	0.402	0.152	0.396	0.943	0.376	0.392	0.452	0.748	0.323	0.341
H	0.286	0.697	0.445	0.531	0.34	0.552	0.325	0.532	0.306	0.779	0.378	0.451
測定日時	2012/8/30 18:22											
コメント	-1_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.153	0.761	0.305	0.331	0.296	0.68	0.267	0.303	0.299	0.705	0.325	0.347
B	0.177	0.268	0.266	0.436	0.856	0.317	0.307	0.368	0.413	0.365	0.363	0.43
C	1.095	0.262	0.267	0.322	1.148	0.274	0.3	0.342	1.192	0.32	0.234	0.363
D	0.229	0.767	0.266	0.594	1.064	1.091	0.278	0.78	1.058	1.055	0.281	0.661
E	0.191	0.66	0.27	0.338	0.336	1.087	0.308	0.351	0.327	0.924	0.278	0.359
F	0.642	0.248	0.284	0.365	1.126	0.307	0.714	0.491	0.997	0.365	0.233	0.416
G	0.207	0.415	0.287	0.294	0.315	0.73	0.313	0.341	0.329	0.801	0.302	0.358
H	0.224	0.479	0.28	0.406	0.324	0.42	0.293	0.299	0.295	0.398	0.359	0.355
測定日時	2012/8/30 18:26											
コメント	-5_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.228	0.955	0.297	0.347	0.292	0.608	0.263	0.298	0.287	0.844	0.33	0.338
B	0.214	0.266	0.276	0.436	0.702	0.321	0.851	0.351	0.787	0.329	0.347	0.35
C	1.373	0.26	0.386	0.34	1.162	0.268	0.27	0.327	1.169	0.323	0.227	0.376
D	0.487	0.649	0.279	0.904	1.175	1.101	0.241	0.784	1.072	1.249	0.236	0.769
E	0.193	0.815	0.291	0.361	0.32	0.984	0.363	0.331	0.307	0.935	0.252	0.361
F	0.5	0.245	0.307	0.452	1.131	0.284	0.287	0.443	1.093	0.381	0.274	0.44
G	0.162	0.417	0.3	0.296	0.328	0.683	0.329	0.356	0.355	0.637	0.321	0.357
H	0.178	0.482	0.294	0.382	0.295	0.479	0.26	0.333	0.305	0.491	0.307	0.598
測定日時	2012/8/30 18:29											
コメント	-201_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.161	1.011	0.283	0.324	0.281	0.586	0.276	0.3	0.284	0.98	0.314	0.366
B	0.186	0.261	0.398	1.104	0.733	0.357	0.308	0.357	0.492	0.341	1.23	1.068
C	1.472	0.265	0.299	0.333	1.071	0.303	0.297	0.383	1.199	0.341	0.295	0.349
D	0.266	0.81	0.302	0.67	1.16	1.239	0.845	0.75	1.038	1.257	0.392	0.831
E	0.241	0.684	0.288	0.35	0.336	1.271	0.251	0.473	0.341	0.953	0.418	0.4
F	0.36	0.244	0.297	0.4	1.219	0.331	0.358	0.485	1.033	0.389	0.972	0.542
G	0.31	0.314	0.285	0.277	0.325	0.695	0.382	0.337	0.343	0.65	0.336	0.34
H	0.3	0.446	0.289	0.421	0.308	0.538	0.264	0.669	0.309	0.548	0.336	0.457
測定日時	2012/8/30 18:32											
コメント	-203_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.171	1.19	0.321	0.319	0.27	0.568	0.268	0.315	0.278	1.066	0.372	0.4
B	0.51	0.323	1.307	1.239	1.166	0.305	0.838	0.981	0.696	0.346	1.117	1.054
C	0.956	0.295	0.336	0.282	1.139	0.306	0.305	0.317	1.078	0.332	0.25	0.275
D	0.396	1.011	0.784	0.867	1.203	1.178	0.788	0.818	1.135	1.172	0.867	0.86
E	0.222	0.884	0.306	0.38	0.295	1.093	0.237	0.4	0.286	1.145	0.385	0.46
F	0.597	0.276	0.821	0.465	1.235	0.354	0.95	0.508	1.154	0.213	0.973	0.538
G	0.233	0.295	0.301	0.262	0.317	0.33	0.311	0.327	0.352	0.802	0.216	0.286
H	0.262	0.596	0.322	0.852	0.316	0.478	0.3	0.633	0.306	0.554	0.335	0.751
測定日時	2012/8/30 18:34											
コメント	-204_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.193	1.147	0.375	0.451	0.308	1.05	0.309	0.36	0.325	1.084	0.414	0.444
B	0.414	0.303	1.265	1.155	0.92	0.338	1.125	1.131	0.888	0.25	1.2	1.085
C	0.997	0.334	0.328	0.253	1.151	0.227	0.224	0.3	1.078	0.225	0.184	0.302
D	0.371	1.089	0.81	0.903	1.17	1.137	0.745	1.178	1.172	1.171	0.877	1.174
E	0.212	1.005	0.357	0.426	0.265	1.127	0.365	0.384	0.249	1.152	0.177	0.45
F	0.769	0.276	0.793	0.506	1.242	0.263	0.913	0.517	1.206	0.146	0.95	0.599
G	0.217	0.331	0.336	0.265	0.297	0.379	0.311	0.336	0.338	0.349	0.307	0.321
H	0.228	0.651	0.336	0.824	0.297	0.551	0.311	0.699	0.333	0.722	0.367	0.846
測定日時	2012/8/30 18:37											
コメント	-207_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.232	0.66	0.28	0.382	0.303	0.758	0.338	0.399	0.339	0.687	0.298	0.306
B	0.256	0.273	0.243	0.875	0.888	0.354	0.301	0.855	0.785	0.376	1.099	0.598
C	1.277	0.254	0.228	0.373	1.055	0.301	0.244	0.367	1.026	0.35	0.332	0.277
D	0.743	0.467	0.235	0.711	0.769	0.579	0.338	0.711	0.801	0.798	0.693	0.609
E	0.197	0.388	0.271	0.42	0.314	0.48	0.339	0.399	0.363	0.702	0.334	0.427
F	0.538	0.251	0.278	0.367	0.515	0.354	0.354	0.54	0.544	0.358	0.309	0.306
G	0.224	0.411	0.378	0.27	0.369	0.465	0.376	0.371	0.381	0.558	0.311	0.269
H	0.271	0.466	0.353	0.64	0.347	0.539	0.32	0.574	0.349	0.489	0.31	0.516
測定日時	2012/8/30 18:40											
コメント	-208_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.176	0.686	0.433	0.382	0.388	0.74	0.336	0.42	0.33	0.703	0.325	0.316
B	0.269	0.185	0.185	0.324	0.498	0.237	0.235	0.308	0.319	0.33	0.34	0.329
C	1.563	0.196	0.27	0.17	1.189	0.202	0.163	0.263	1.191	0.283	0.323	0.269
D	0.724	0.329	0.14	0.371	0.806	0.429	0.176	0.358	0.806	0.753	0.334	0.466
E	0.089	0.352	0.23	0.193	0.171	0.403	0.161	0.249	0.264	0.816	0.385	0.301
F	0.506	0.273	0.15	0.341	0.492	0.164	0.159	0.249	0.57	0.284	0.338	0.324
G	0.128	0.332	0.216	0.168	0.164	0.345	0.172	0.242	0.247	0.497	0.312	0.282
H	0.282	0.449	0.322	0.398	0.288	0.471	0.33	0.411	0.327	0.552	0.414	0.345
測定日時	2012/8/30 18:43											
コメント	-210_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.163	0.672	0.354	0.418	0.363	0.738	0.386	0.414	0.319	0.765	0.376	0.341
B	0.489	0.151	0.184	0.305	0.56	0.286	0.3	0.344	0.622	0.289	0.321	0.342
C	1.527	0.217	0.135	0.192	1.151	0.149	0.147	0.184	1.206	0.306	0.327	0.283
D	0.774	0.449	0.693	0.67	0.948	0.63	0.166	0.434	0.803	0.74	0.741	0.526
E	0.091	0.344	0.227	0.27	0.193	0.544	0.229	0.285	0.318	0.693	0.41	0.308
F	0.727	0.206	0.213	0.288	0.788	0.181	0.824	0.325	0.573	0.344	0.411	0.318
G	0.182	0.673	0.254	0.17	0.28	0.29	0.231	0.298	0.354	0.488	0.329	0.3
H	0.28	0.522	0.311	0.447	0.286	0.493	0.307	0.437	0.315	0.546	0.349	0.636
測定日時	2012/8/30 18:46											
コメント	-211_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.166	0.299	0.297	0.674	0.284	0.31	0.368	0.477	0.322	0.328	0.339	0.61
B	0.614	0.163	1.253	0.808	0.579	0.221	0.968	0.965	0.549	0.399	1.156	0.691
C	0.456	0.244	0.162	0.182	0.454	0.185	0.224	0.293	0.467	0.315	0.472	0.298
D	0.375	0.576	0.64	0.598	0.587	0.709	0.701	0.606	0.463	0.847	0.74	0.439
E	0.155	0.201	0.26	0.191	0.22	0.258	0.306	0.333	0.351	0.413	0.402	0.28
F	0.189	0.179	0.803	0.239	0.218	0.211	0.79	0.223	0.271	0.3	0.774	0.281
G	0.178	0.348	0.187	0.139	0.235	0.21	0.188	0.216	0.275	0.301	0.356	0.298
H	0.285	0.398	0.371	0.737	0.271	0.374	0.371	0.705	0.326	0.41	0.383	0.512
測定日時	2012/8/30 18:49											
コメント	-212_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.23	0.768	0.358	0.389	0.333	0.702	0.372	0.48	0.368	0.73	0.341	0.362
B	0.625	0.214	1.18	0.361	0.345	0.171	1.003	0.938	0.365	0.302	0.35	0.387
C	1.36	0.153	0.141	0.219	1.049	0.145	0.213	0.37	1.163	0.398	0.332	0.291
D	0.836	0.566	0.144	0.403	0.788	0.542	0.135	0.728	0.726	0.557	0.76	0.563
E	0.23	0.433	0.257	0.21	0.177	0.525	0.313	0.347	0.25	0.64	0.347	0.306
F	0.602	0.159	0.151	0.339	0.599	0.216	0.942	0.285	0.58	0.344	0.341	0.311
G	0.13	0.448	0.172	0.156	0.139	0.306	0.156	0.166	0.248	0.39	0.317	0.3
H	0.315	0.525	0.306	0.746	0.237	0.371	0.217	0.55	0.272	0.54	0.332	0.61
測定日時	2012/8/30 18:52											
コメント	20-1_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.227	1.105	0.339	0.437	0.317	1.116	0.346	0.552	0.329	1.061	0.331	0.357
B	0.352	0.237	1.431	0.494	0.841	0.24	0.264	0.458	0.735	0.219	0.351	0.421
C	1.318	0.24	0.322	0.193	1.191	0.168	0.169	0.264	1.1	0.163	0.343	0.375
D	1.314	1.012	0.268	0.781	1.141	1.012	0.175	1.138	1.051	1.059	0.354	0.701
E	0.283	0.951	0.255	0.301	0.207	1.028	0.222	0.332	0.175	1.001	0.358	0.381
F	1.472	0.302	0.212	0.441	1.307	0.241	0.222	0.481	0.881	0.203	0.299	0.495
G	0.272	0.927	0.208	0.244	0.259	0.976	0.185	0.261	0.216	0.257	0.297	0.339
H	0.3	0.826	0.39	0.572	0.304	0.787	0.314	0.782	0.321	0.514	0.476	0.4
測定日時	2012/8/30 18:55											
コメント	20-2_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.221	1.296	0.333	0.504	0.278	1.132	0.335	0.53	0.344	1.071	0.386	0.405
B	0.485	0.158	0.19	1.226	0.769	0.143	1.215	0.613	0.732	0.169	0.243	0.407
C	0.873	0.263	0.142	0.382	1.167	0.114	0.204	0.325	0.998	0.326	0.291	0.346
D	1.405	1.108	0.156	0.953	1.191	1.157	0.711	0.77	1.085	1.169	0.432	0.697
E	0.265	1.031	0.25	0.52	0.16	1.049	0.175	0.483	0.462	0.941	0.478	0.391
F	1.341	0.179	0.46	0.579	1.208	0.267	0.997	0.633	1.181	0.501	0.333	0.42
G	0.293	0.472	0.405	0.166	0.494	0.577	0.378	0.369	0.369	0.614	0.339	0.335
H	0.281	0.744	0.387	0.51	0.345	0.709	0.491	0.511	0.276	0.697	0.482	0.43
測定日時	2012/8/30 18:58											
コメント	20-3_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.158	1.279	0.253	0.443	0.28	1.175	0.282	0.436	0.304	1.138	0.295	0.37
B	0.669	0.213	0.18	0.383	1.014	0.117	0.248	0.421	0.872	0.181	0.216	0.414
C	1.419	0.165	0.125	0.21	1.144	0.164	0.158	0.209	1.225	0.201	0.217	0.368
D	1.432	0.995	0.187	0.795	1.207	0.988	0.686	0.71	1.06	1.146	0.403	0.675
E	0.198	1.061	0.253	0.269	0.165	1.063	0.183	0.381	0.157	1.037	0.334	0.463
F	1.813	0.288	0.175	0.381	1.211	0.217	0.985	0.375	0.91	0.213	0.242	0.489
G	0.231	0.759	0.135	0.163	0.202	0.303	0.147	0.185	0.237	0.42	0.247	0.367
H	0.258	0.76	0.468	0.466	0.227	0.745	0.359	0.437	0.292	0.688	0.343	0.769
測定日時	2012/8/30 19:01											
コメント	20-4_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.171	1.299	0.248	0.423	0.281	1.182	0.352	0.458	0.332	1.13	0.342	0.352
B	0.33	0.108	0.118	1.317	0.515	0.153	0.132	0.471	1.061	0.169	1.37	0.513
C	1.418	0.131	0.093	0.146	1.226	0.1	0.108	0.202	1.284	0.173	0.185	0.373
D	1.448	1.021	0.225	0.861	1.238	0.979	0.249	0.779	1.153	1.223	0.75	0.759
E	0.214	0.975	0.233	0.433	0.135	1.199	0.197	0.344	0.196	1.017	0.306	0.47
F	1.673	0.236	0.356	0.331	1.111	0.298	0.849	0.441	0.914	0.168	0.737	0.605
G	0.245	0.457	0.283	0.156	0.14	0.787	0.217	0.175	0.15	0.871	0.212	0.342
H	0.292	0.721	0.355	0.467	0.309	0.746	0.313	0.513	0.309	0.592	0.343	0.401
測定日時	2012/8/30 19:04											
コメント	20-5_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.176	1.192	0.362	0.473	0.304	1.081	0.384	0.512	0.392	1.094	0.39	0.36
B	0.752	0.205	1.397	1.276	0.984	0.277	1.304	1.249	0.911	0.247	1.24	0.827
C	1.328	0.263	0.159	0.405	1.173	0.177	0.287	0.447	1.174	0.411	0.314	0.396
D	1.29	0.857	0.902	0.986	1.109	1.19	0.92	1.192	1.101	1.257	0.983	0.834
E	0.278	1.002	0.424	0.583	0.173	1.075	0.207	0.526	0.352	1.07	0.471	0.43
F	1.348	0.384	1.037	0.514	1.052	0.391	1.007	0.612	1.223	0.484	0.988	0.627
G	0.309	0.43	0.37	0.314	0.418	0.273	0.416	0.36	0.381	0.675	0.336	0.343
H	0.29	0.61	0.389	0.852	0.403	0.665	0.442	0.753	0.354	0.747	0.433	0.744
測定日時	2012/8/30 19:07											
コメント	20-6_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.209	1.15	0.283	0.364	0.307	1.181	0.361	0.447	0.399	1.086	0.342	0.344
B	0.423	0.247	0.279	1.277	1.006	0.161	0.258	0.477	0.84	0.214	1.214	1.063
C	1.226	0.24	0.147	0.329	1.214	0.315	0.229	0.308	1.155	0.337	0.219	0.37
D	1.224	0.969	0.188	0.796	1.175	0.999	0.283	0.974	1.112	1.147	0.406	0.721
E	0.285	0.968	0.148	0.456	0.325	1.038	0.262	0.495	0.37	1.017	0.444	0.575
F	1.4	0.342	0.428	0.501	1.041	0.238	1.048	0.605	1.095	0.47	0.289	0.587
G	0.304	0.825	0.375	0.129	0.394	0.497	0.33	0.341	0.343	0.846	0.28	0.354
H	0.278	0.679	0.351	0.777	0.329	0.627	0.455	0.633	0.31	0.748	0.356	0.681
測定日時	2012/8/30 19:10											
コメント	20-7_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.21	1.133	0.335	0.408	0.322	1.068	0.386	0.482	0.376	0.998	0.386	0.478
B	0.666	0.254	1.242	1.087	0.864	0.162	1.196	1.033	0.68	0.409	1.144	1.015
C	1.215	0.226	0.203	0.218	1.097	0.215	0.132	0.271	1.02	0.197	0.223	0.423
D	1.23	1.008	0.748	0.704	1.167	1.008	0.724	0.732	1.119	1.076	0.561	0.815
E	0.249	1.021	0.258	0.479	0.193	1.042	0.278	0.326	0.187	0.954	0.297	0.523
F	1.389	0.324	1.014	0.325	1.204	0.176	0.901	0.489	1.032	0.191	0.981	0.553
G	0.297	0.412	0.311	0.184	0.203	0.409	0.168	0.245	0.201	0.49	0.257	0.366
H	0.276	0.699	0.359	0.841	0.3	0.602	0.339	0.791	0.295	0.493	0.329	0.796
